titel,inhoud,wdka-tijdelijk,url,vorm1,vorm2,vorm3,onderwerp1,onderwerp2,onderwerp3,academie,afdeling,graad,jaar
Brave Hendrik,"With my collection Brave Hendrik I address the stereotypical image of man and offer a new freedom for male identity. At birth you are placed in the box of gender identity and based on this box the first choices are made for you, pink or blue, Cinderella or Superman, short or long hair. In short, gender identity determines which values and norms society sets for you. With my collection I want to move beyond this characterisation in society and invite people to be brave and to embrace the freedom to show as many sides of themselves as possible. I believe people can have a much more fluid character than merely being categorised as male or female. My designs allow people to explore who or what they can be, and this takes courage. All my designs are based on a 2D silhouettes, to then literally blow up this into a 3D form, this allows me to play with the transformation of 2D/3D. The sealing technique ensures an airtight shape and gives strength to the form. For the foot pieces I used patent leather, and used glue as a connection to make the airtight connection so the work gives shape. With the gloves it is human hand that creates volume and plays with form by wearing the pieces. The colours of my collection determine and evoke different associations. The shoulder pieces are made of a transparent PVC that creates an optical distortion of the body. In keeping with the change of form and the monumental nature of the head pieces. To emphasize the theatrical aspect of my accessories I use monumental forms. My accessories have distinct silhouettes and are intended as showpieces that can be used in dance performances, operas, performances, fashion shows or in the nightlife. Through my internship at RAVAGE, I had the opportunity to step into a world created by Clemens Rameckers and Arnold van Geuns. This inspired me to create my own world and progress with my thinking and design to work and provoke more with the changing stereotypes.",,http://www.judithmuijs.com/artez/,kledingstuk,-,-,identiteit,-,-,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
"Oddities. Strange or peculiar persons, things or traits.","With â€œodditiesâ€ I question the relationship we have with the objects we use and surround ourselves with. I usually feel a deeper connection with most objects than just the function for which they are intended. I feel there is a story to be told about a thing, but we seldom look at this. The emotional value of contemporary products is decreasing, just because they are often mass produced with the idea that they are easily replaceable. This reinforces a loss of caring for our belongings even more. For this collection I was inspired by the following quote: The sense of guilt described herein prompted me to design a collection of products that feel animated and require certain affection. What does a world look like in which products wish to be cared for? â€œOdditiesâ€ consists of a series interior products in ceramics and glass, with functionality in second place. My goal is to question function and the way we interact with objects. The first step in my design proces was attending to the needs of the object instead of the userâ€™s. By playing with recognizable figurative elements such as fur, clothing and limbs, the objects invoke emotional interest through our tendency to take care of what is dear to us. My collection consists of animated characters that originated from everyday things and together they populate a new world of forms. ",,http://www.judithmuijs.com/artez/,voorwerp,video,-,functionaliteit,emotie,-,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Room to Move,"Urban living space has proved to be an incredibly unstable commodity. Urbanisation causes living spaces to become increasingly smaller and less affordable. Trends such as micro-apartments and tower blocks show us a course of continual streamlining, systemising and micro-managing of living spaces and the cities surrounding them. This raises the question: Are our ideas on urban living space no longer viable? Given that these spaces are becoming less and less suitable for the activities they were originally intended for, one could question the precondition of owning our own living space. Room To Move showcases a scenario in which living spaces have been abrogated and fragmented into public structures. Being aware of an increasing amount of things being taken out of the living space nowadays, the project provides a superlative that challenges our existing preconditions. By focusing on sleep, one of the key activities within a living space, a system is visualised which facilitates sleep as a collective activity, instead of a private one. Due to the actuality and urgency of this phenomenon, we quickly became extremely interested and invested in this spatial problem and the ways we could approach it as designers. By developing a narrative as a basis for our project, we established a framework for ourselves in which we could explore and experiment with the various facets of our topic. A key element in our work is the returning use of the archetypical shape of a bed. Using this shape as a an icon for sleep, we visualise our scenario of collective sleeping. The result is a collection of works that visualise a radical and poetic approach, in order to break away from the rationality and hyper-efficiency which the topic is usually approached with. We are interested in the tension between the extreme and plausible, and want to use our work to showcase this.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
LAST DIVISION,"The LAST DIVISION collection defines stereotyping in image about football players and their position. Also, it investigates technical research within last variety and application of the sole. A personal interest in football, its culture and individuality led to a footwear collection. In the world of football, a contrast exists between self- interest and acting as a team. With this in mind I created four characters and their bespoke footwear. The shoes represent recognizable characters within the 90 minutes of a game, but also their attitude outside of the pitch based on their position as well as their personality. This stereotyping is a sign of defining image, specialization and commercialization. The collection has been created by developing a technique of making lasts. The last is a very defining mold for the final shape and characteristics of a shoe. However, due to the system of the industry of footwear, lasts are not easy accessible for a designer to obtain and use in small range. To get around these restrictions I found a method to assemble and vary with the molds differently. The segmentation of a last provides a way to create every modeled shape, offering me the possibility to specialize the last on each imago and character. LAST DIVISION embodies the analyzing image maker as well as a rather technical developer in me. The built characters are divided into parameters, always starting with the base of the last and the way it is segmented. To complete the personalities the further image is created by adjusting material, sole, studs, closing and position of the player.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Lupa,"Our connection to the things around us has seemingly grown weaker. Throughout my study I have been experimenting with the notion of play within interior objects. By giving my designs a playful aspect, I want to strengthen the connection between user and the object. In the first place I hope to add some more joy to the static function of the furniture and other interior objects in our living rooms. Secondly, I strive to increase the time before we trade in our products for something new. My focus is to make the relation between use and function multi-interpretable, so that an object can easily be ascribed a different function or context. In this way my designs invite the user to be inventive and live with the work in new ways. With my graduation collection LUPA I designed a collection that brings playfulness into our interior, and thus into our daily lives. My designs have a flexibility; they have a playful and stubborn character, to evoke interaction. The starting point of my collection was a set of line drawings that I made while traveling. These drawings are born spontaneously from the shapes I see around me. They are the blueprints of my visual language. Scale variation is important, it gives direction to the function the object is being assigned. The line-drawings are my own landscape of forms. Creating such an own world of form and color as a starting point for my design process has become a way of working for me. My internship at Ontwerpduo inspired me to design products with the emphasis on accessibility. In the future, I aspire to further investigate the manufacturability of my products and gain more experience in this area.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Objects for a cashless society,"Objects for a cashless society is a collection of fictional products that respond to the digitization of money. The financial world is becoming increasingly complex. Coins and bills are replaced by alternative money flows and intangible value systems. Social and emotional aspects getting lost. Technological developments are increasingly moving towards a frictionless transition between the analogue and digital world. But what are the side effects of these developments? How will this â€˜digitalâ€™ world look like? What are the consequences of the loss of physical money? Imagine how the following scenarios will take place; A child who received his pocket money, rewarding a street musician for his performance, making a wish in a fountain or filling a piggy bank. I want to show alternatives to these technological developments. With this collection, I want to make a complex system tangible again, showcasing the human side, stepping away from a society that consequences the loss of human interaction. And itâ€™s no surprise, given that so many people accumulate credit card debt, that people tend to be less financially responsible when paying in the abstract.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Land Fishing,"Land fishing is a plea to conscious handling of belongings and materials. As a designer I like to tell stories with images. My film and the objects I created combine to form the story of the land fisher. The live in a time in which cheap mass production encourages us to discard our belongings. We no longer become attached to our belongings as the possessions we have are easily replaceable, disposable and in our possession for a very short amount of time. This has lead to more waste. What we buy at online retailers is presented to us via customised algorithms, we search for unambiguous keywords in search engines for products. Surprises are hereby excluded. All kinds of things are washed up on our shores that were lost by chance or thrown away. Most people would consider these objects trash but beachcombers find value in such things. What they find they sell, even washed up wood. Other objects they find may be kept as souvenirs, like parts of sunken ships. Some things are reused and become parts of something new. The beachcomber allows himself to become surprised by what they might find washed ashore. I wish to expand on the mentality of the beachcomber and apply it to the behaviour of our consumer based society. Not only to the discarded belongings of beach goers. This behaviour can be observed everywhere people inhabit, even it cities. I want to encourage people to go land fishing. We need to rediscover the value of materials and objects that we have declared trash. Just for the pleasure of finding something and the game of searching.",,http://www.judithmuijs.com/artez/,video,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Between the Lines,"I wish to explore the boundaries of imaginative design. To do so, the technique of drawing with a 3D pen is essential for this project. The futuristic scenario of directly visualising and producing a desired product â€“ in the single act of drawing â€“ represents the project rationale. For me, it is a magical way of bringing an idea to reality. The only design tool you need is the pure power of imagination and personalized drawing skills. If you want something, you draw it and it becomes a real product. Creating and producing by the means of drawing still seems to be a future fantasy, but for me itâ€™s all about dreaming big about this new opportunity. On the one hand, my shoe collection represents the expression of imagination. On the other hand, it reflects the applied form through material and technical experimentation. The research into visual and spatial implementation of the concept has a strong experimental character, due to the stimulation of new material properties and characteristics. The line-art is the 3D structure that shapes the shoe. At the same time they have a spatial network structure, in order to be able to meet the necessary load-bearing capacity of a shoe construction. My fascination for the skeleton as a supporting structure is reflected in my drawings. I have developed several drawing techniques that originate from skeleton structures. The ability to carry weight and at the same time be transparent, is the most important element of a skeleton. Different layers that remain visible one after the other. I consider the skin of the skeleton of a supportive feature, but also to emphasise the structure underneath it.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Re:Frame,"I want to tell a story: about actively living with objects; About habits and habitat; And about our framed view. We tend to do things out of habit, like weâ€™ve always done. Do we ever question them? I like to question everything: â€œHow do we live with objects? What are the boundaries of the concept of a carpet? Why donâ€™t we put mirrors on the floor? And if Cinderellaâ€™s shoe fit perfectly, then why did it fall off?â€. Weâ€™ve framed reality. It makes the world structured and clear. We need frames, but they can also hold us back. To reframe â€“ to step back from what is being said and consider the frame through which reality is being created â€“ considers alternative perspectives. Reframing opens up new ways of seeing, thinking and acting. I want to reframe life. I started at home. Home is the place where we live. I see living not as passively being surrounded by objects, but as an active usage of the objects we surround ourselves with. Our home objects are the props of our existence and our home is a decor where our daily life unfolds. My collection of home objects offer a new perspective on daily life and our home. My carpet gives you a new perspective of a place you may know so well. Mirroring and expanding the space it lies in and deforming it when interacted with. My clothing hangers give you a new perspective of the clothes you wear daily. By hanging them on the wall, the clothing transforms into an artwork that is literally framed. It lets you focus on the stitches and form details of something often so close to you that you may not notice it anymore. Moving from the space we live in, to the material we live with, to the body itself: I framed the foot. The slippers in my collection give the foot a new perspective. While the rectangular shape of the sole ignores the form of the foot, the woven elastics embraces the form when worn. With my collection I want to put daily life in a different perspective and stimulate a mentality that questions the ordinary and doesnâ€™t settle for things that â€˜has always been that way.â€™. The way that I question the boundaries of objects, I also question the boundary of my own discipline. I work on the intersection of product, graphic and research design with a passion for philosophy and the ordinary.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
TAKT,"Every day we go to work, every day we prepare a meal to eat around six and every day we ask the same question; how are you? Nowadays more often people will answer with â€˜itâ€™s busy!â€™ and this is perceived as something positive, but is it a always a good thing? We want to fit into society so we adapt to the existing rhythm that we have created. Sometimes it seems that we forget how unique we as individuals are and that everyone has their own pace. Do we listen enough to ourselves or is the collective rhythm too overpowering? With my graduation project TAKT, I want to approach our hectic pace of life in a contemplative way in order to stimulate a conversation with the viewer. Questioning whether it can be different. The need to create a different rhythm of life is becoming ever greater. Also from the fact that not everyone can cope with the current fast pace of life. The pressure to be a part of this hectic life is building up. People are increasingly looking for a solution to reach their full potential and to keep up with this lifestyle. Many young people experience the fierce competition and the high expectations set by our modern society. With my ceramic objects, I want to physically represent the different rhythms of life and hence start a discussion about this lack of time and the need for a more individual pace. The objects in the collection all have a different way of moving. One moves much faster than the other, however together they reinforce each other. With my objects I want to emphasize the beauty of these differences and appreciate the uniqueness of every rhythm on its own and together as a collection.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
